"siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","mdcaty","gnis_name","reachcode","hectares","repunit","resource","comments","lakecode","shape_leng","shape_area","area_cat","sframe_st","geometry"
"FLLL23001-001","Base","None",-84.1827393001847,30.4404345380757,"Zone 1",1261.41174672202,0.000792762555603799,"Zone 1_(45,144]","Piney Z Lake","03120001008774",85.877917394,"Zone 1","Large Lake",NA,"4291-03120001008774",3855.00312306,858779.17394,"Zone 1_(45,144]","Zone 1",c(382465.168056411, 714779.166826211)
"FLLL23001-002","Base","None",-84.5549670360981,30.4362696037634,"Zone 1",1619.27842527228,0.000617559021594356,"Zone 1_(1.43e+03,3.27e+03]","Lake Talquin","03120003001574",3271.88679949,"Zone 1","Large Lake",NA,"4035-03120003001574",165804.746739,32718867.9949,"Zone 1_(1.43e+03,3.27e+03]","Zone 1",c(346745.967938155, 714423.792328292)
"FLLL23001-003","Base","None",-84.9477341771865,30.7556311501976,"Zone 1",1619.27842527228,0.000617559021594356,"Zone 1_(1.43e+03,3.27e+03]","Lake Seminole","03130004004753",1591.36654468,"Zone 1","Large Lake",NA,"4065-03130004004753",57993.783923,15913665.4468,"Zone 1_(1.43e+03,3.27e+03]","Zone 1",c(309329.406352139, 750090.469210399)
"FLLL23001-004","Base","None",-85.6504746668771,30.4705957148675,"Zone 1",1194.20126701674,0.000837379784814765,"Zone 1_[10,45]","Sand Lake","03140101000846",33.0831678062,"Zone 1","Large Lake",NA,"3978-03140101000846",2829.93604373,330831.678062,"Zone 1_[10,45]","Zone 1",c(241677.4278514, 719172.887891398)
"FLLL23001-005","Base","None",-84.2505753966315,30.5212626632094,"Zone 1",1261.41174672202,0.000792762555603799,"Zone 1_(45,144]","Lake Hall","03120003001525",75.8657639928,"Zone 1","Large Lake",NA,"4075-03120003001525",4590.48252403,758657.639928,"Zone 1_(45,144]","Zone 1",c(375974.159366514, 723760.449591814)
"FLLL23001-006","Base","None",-84.5378012106823,30.4628268618697,"Zone 1",1619.27842527228,0.000617559021594356,"Zone 1_(1.43e+03,3.27e+03]","Lake Talquin","03120003001574",3271.88679949,"Zone 1","Large Lake",NA,"4035-03120003001574",165804.746739,32718867.9949,"Zone 1_(1.43e+03,3.27e+03]","Zone 1",c(348406.024758273, 717363.708629262)
"FLLL23001-007","Base","None",-85.0425036017511,30.8566001716536,"Zone 1",1194.20126701674,0.000837379784814765,"Zone 1_[10,45]","Sweet Pond","03130004001651",15.3557586641,"Zone 1","Large Lake",NA,"4283-03130004001651",2131.28582157,153557.586641,"Zone 1_[10,45]","Zone 1",c(300357.638593976, 761365.53282621)
"FLLL23001-008","Base","None",-85.6279951133433,30.5011331297407,"Zone 1",1261.41174672202,0.000792762555603799,"Zone 1_(45,144]","Gully Lake","03140101001084",142.725253541,"Zone 1","Large Lake",NA,"3971-03140101001084",10671.1174782,1427252.53541,"Zone 1_(45,144]","Zone 1",c(243878.402062342, 722532.792235365)
"FLLL23001-009","Base","None",-84.3299624669378,30.5269237720968,"Zone 1",875.624396686299,0.00114204218587831,"Zone 1_(1.02e+03,1.43e+03]","Lake Jackson","03120003001734",1425.85241114,"Zone 1","Large Lake","Too shallow. Unable to get boat close to location.","4068-03120003001734",53764.6445361,14258524.1114,"Zone 1_(1.02e+03,1.43e+03]","Zone 1",c(368364.011247324, 724406.585042577)
"FLLL23001-010","Base","None",-84.2088063001514,30.648849442604,"Zone 1",1075.44802254048,0.000929845031132002,"Zone 1_(144,1.02e+03]","Lake Iamonia","03120003001444",1015.47034065,"Zone 1","Large Lake","Updated by Andy Roach on 8-23-18.","4459-03120003001444",51202.6627719,10154703.4065,"Zone 1_(144,1.02e+03]","Zone 1",c(380003.061311967, 737910.81596352)
